"UrbanRural","TotalIncomeLastYear","TotalExpLastQ"
1,33996,2661.6
1,11676,678.4667
1,32008,1040.4667
1,127704,13004.6167
1,176024,9368.0577
1,15216,2570
1,49000,3529.4167
1,14184,3102
2,400,2232.4999
1,100000,22032.1999
1,39516,3020.2666
2,127000,7667.7501
1,173200,12519
1,44000,3822.3
1,150000,25743.5499
1,12372,3296.6667
1,29816,8467.8
1,44628,6397.8
1,32400,5403.5
1,120000,4039
1,10068,3244.5
1,214300,7343.5833
1,42751,5270.2167
1,4000,3780.3333
1,63576,9624.0166
1,281417,16219.5
1,17000,3793.4001
1,100000,5253.6667
1,21380,5519.4
1,102300,2812.1667
1,102889,12561.1999
1,30996,17383.8
1,39480,2324.8
1,21872,7804.9333
1,4453,2147.1333
1,150000,17702.2245
1,27600,8535.2501
1,182360,19110.2667
1,152601,14338.3333
1,9214,1591.55
1,11492,2181.1333
1,16344,9691.4
1,45586,5212.2
1,102000,4785.8334
1,30000,3961.5
1,7089,4317.0001
1,100000,18729.2499
1,71200,14778.0001
1,55000,13719.3499
1,133000,15341.7501
1,32016,10866.55
1,26000,5883.7501
1,26140,6483.4
1,169561,46803.8001
1,49706,2208.4333
1,29892,6982
1,110000,8103.75
1,23000,4772.0001
1,110005,11685.4999
2,40000,3014.6667
1,35520,7755.6501
1,1608,4659.4667
1,13596,3954.9333
1,100000,4809.1334
1,9003,2913.8499
1,225000,50785.8247
2,26508,6558.8
1,264386,30357.3368
1,27917,4891.4
1,3500,6455.9999
1,110000,4138.5834
1,15000,2923.0001
1,40000,6745.1501
1,206664,14836.1499
1,19604,5585.6667
1,61042,9408.4999
1,60000,2891.8333
1,80000,7037.4999
1,68408,41789.3579
1,58097,4276.1833
1,45180,6281.5001
1,24696,2673.8
1,9256,3715.4667
1,31526,2767.6333
1,37642,2612.1333
1,102500,26214.0001
2,79010,14217.6333
1,34000,8431.3499
1,37248,2658.9333
1,150000,17852.9867
1,20000,6384.5
1,79000,14794.5501
2,47816,3115.0834
1,12000,3890
1,12324,1782.3333
1,90000,16928.8333
1,35200,5742.0499
1,21643,2114.1333
1,129000,17814.2501
1,20300,3920.9999
1,100000,7659.3333
1,12000,2480
2,91000,36031.5001
2,45000,3224.5834
1,10200,1330.4667
1,88000,6589.6668
1,80125,11106
1,27829,5278.5333
1,8473,3364.6667
1,47000,6947.3334
1,53616,1656.9334
1,77000,7664.7166
1,5600,3383.8333
2,12780,645.8
1,76000,10048.6667
1,55000,11571.9667
1,77180,12036.75
2,4040,2805.4667
1,70000,11382.9999
1,115453,19295
1,103416,13994.3667
1,14000,4801.3
1,29088,9175.5333
1,57200,3313.1334
1,27108,5790.4
1,16738,8221.4999
1,72604,7773.9333
1,85000,9684.4
1,3216,5346.8
1,86000,5444.35
1,128000,10410.3333
1,36000,7090.5
1,66000,1895.4167
1,18972,2199.4
1,22162,2755
1,35000,5630.8335
1,480,1514
1,60000,10649.5001
2,229357,22533.1499
1,4190,2956.6667
1,68000,12623
1,37000,5792.7501
1,5964,1951.6667
1,30000,16983.75
1,150000,6564.8038
1,27832,21017
1,21655,6785.0999
1,8000,14599.5
1,28630,6247.5
1,369386,37322.8333
1,23000,2650.0001
1,61010,12229.6499
1,140000,58534.6667
1,19608,8581.3334
1,36000,8947.3368
